PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
194,1,2,1,3.0,1,1,26.0,0
195,1,1,0,44.0,0,0,27.7208,1
196,1,1,0,58.0,0,0,146.5208,1
197,0,3,1,24.0,0,0,7.75,2
198,0,3,1,42.0,0,1,8.4042,0
199,1,3,0,24.0,0,0,7.75,2
200,0,2,0,24.0,0,0,13.0,0
201,0,3,1,28.0,0,0,9.5,0
202,0,3,1,24.0,8,2,69.55,0
203,0,3,1,34.0,0,0,6.4958,0
204,0,3,1,45.5,0,0,7.225,1
205,1,3,1,18.0,0,0,8.05,0
206,0,3,0,2.0,0,1,10.4625,0
207,0,3,1,32.0,1,0,15.85,0
208,1,3,1,26.0,0,0,18.7875,1
209,1,3,0,16.0,0,0,7.75,2
210,1,1,1,40.0,0,0,31.0,1
211,0,3,1,24.0,0,0,7.05,0
212,1,2,0,35.0,0,0,21.0,0
213,0,3,1,22.0,0,0,7.25,0
214,0,2,1,30.0,0,0,13.0,0
215,0,3,1,24.0,1,0,7.75,2
216,1,1,0,31.0,1,0,113.275,1
217,1,3,0,27.0,0,0,7.925,0
218,0,2,1,42.0,1,0,27.0,0
219,1,1,0,32.0,0,0,76.2917,1
220,0,2,1,30.0,0,0,10.5,0
221,1,3,1,16.0,0,0,8.05,0
222,0,2,1,27.0,0,0,13.0,0
223,0,3,1,51.0,0,0,8.05,0
224,0,3,1,24.0,0,0,7.8958,0
225,1,1,1,38.0,1,0,90.0,0
226,0,3,1,22.0,0,0,9.35,0
227,1,2,1,19.0,0,0,10.5,0
228,0,3,1,20.5,0,0,7.25,0
229,0,2,1,18.0,0,0,13.0,0
230,0,3,0,24.0,3,1,25.4667,0
231,1,1,0,35.0,1,0,83.475,0
232,0,3,1,29.0,0,0,7.775,0
233,0,2,1,59.0,0,0,13.5,0
234,1,3,0,5.0,4,2,31.3875,0
235,0,2,1,24.0,0,0,10.5,0
236,0,3,0,24.0,0,0,7.55,0
237,0,2,1,44.0,1,0,26.0,0
238,1,2,0,8.0,0,2,26.25,0
239,0,2,1,19.0,0,0,10.5,0
240,0,2,1,33.0,0,0,12.275,0
241,0,3,0,24.0,1,0,14.4542,1
242,1,3,0,24.0,1,0,15.5,2
243,0,2,1,29.0,0,0,10.5,0
244,0,3,1,22.0,0,0,7.125,0
245,0,3,1,30.0,0,0,7.225,1
246,0,1,1,44.0,2,0,90.0,2
247,0,3,0,25.0,0,0,7.775,0
248,1,2,0,24.0,0,2,14.5,0
249,1,1,1,37.0,1,1,52.5542,0
250,0,2,1,54.0,1,0,26.0,0
251,0,3,1,24.0,0,0,7.25,0
252,0,3,0,29.0,1,1,10.4625,0
253,0,1,1,62.0,0,0,26.55,0
254,0,3,1,30.0,1,0,16.1,0
255,0,3,0,41.0,0,2,20.2125,0
256,1,3,0,29.0,0,2,15.2458,1
257,1,1,0,24.0,0,0,79.2,1
258,1,1,0,30.0,0,0,86.5,0
259,1,1,0,35.0,0,0,512.3292,1
260,1,2,0,50.0,0,1,26.0,0
261,0,3,1,24.0,0,0,7.75,2
262,1,3,1,3.0,4,2,31.3875,0
263,0,1,1,52.0,1,1,79.65,0
264,0,1,1,40.0,0,0,0.0,0
265,0,3,0,24.0,0,0,7.75,2
266,0,2,1,36.0,0,0,10.5,0
267,0,3,1,16.0,4,1,39.6875,0
268,1,3,1,25.0,1,0,7.775,0
269,1,1,0,58.0,0,1,153.4625,0
270,1,1,0,35.0,0,0,135.6333,0
271,0,1,1,24.0,0,0,31.0,0
272,1,3,1,25.0,0,0,0.0,0
273,1,2,0,41.0,0,1,19.5,0
274,0,1,1,37.0,0,1,29.7,1
275,1,3,0,24.0,0,0,7.75,2
276,1,1,0,63.0,1,0,77.9583,0
277,0,3,0,45.0,0,0,7.75,0
278,0,2,1,24.0,0,0,0.0,0
279,0,3,1,7.0,4,1,29.125,2
280,1,3,0,35.0,1,1,20.25,0
281,0,3,1,65.0,0,0,7.75,2
282,0,3,1,28.0,0,0,7.8542,0
283,0,3,1,16.0,0,0,9.5,0
284,1,3,1,19.0,0,0,8.05,0
285,0,1,1,24.0,0,0,26.0,0
286,0,3,1,33.0,0,0,8.6625,1
287,1,3,1,30.0,0,0,9.5,0
288,0,3,1,22.0,0,0,7.8958,0
289,1,2,1,42.0,0,0,13.0,0
290,1,3,0,22.0,0,0,7.75,2
291,1,1,0,26.0,0,0,78.85,0
292,1,1,0,19.0,1,0,91.0792,1
293,0,2,1,36.0,0,0,12.875,1
294,0,3,0,24.0,0,0,8.85,0
295,0,3,1,24.0,0,0,7.8958,0
296,0,1,1,24.0,0,0,27.7208,1
297,0,3,1,23.5,0,0,7.2292,1
298,0,1,0,2.0,1,2,151.55,0
299,1,1,1,24.0,0,0,30.5,0
300,1,1,0,50.0,0,1,247.5208,1
301,1,3,0,24.0,0,0,7.75,2
302,1,3,1,24.0,2,0,23.25,2
303,0,3,1,19.0,0,0,0.0,0
304,1,2,0,24.0,0,0,12.35,2
305,0,3,1,24.0,0,0,8.05,0
306,1,1,1,0.92,1,2,151.55,0
307,1,1,0,24.0,0,0,110.8833,1
308,1,1,0,17.0,1,0,108.9,1
309,0,2,1,30.0,1,0,24.0,1
310,1,1,0,30.0,0,0,56.9292,1
311,1,1,0,24.0,0,0,83.1583,1
312,1,1,0,18.0,2,2,262.375,1
313,0,2,0,26.0,1,1,26.0,0
314,0,3,1,28.0,0,0,7.8958,0
315,0,2,1,43.0,1,1,26.25,0
316,1,3,0,26.0,0,0,7.8542,0
317,1,2,0,24.0,1,0,26.0,0
318,0,2,1,54.0,0,0,14.0,0
319,1,1,0,31.0,0,2,164.8667,0
320,1,1,0,40.0,1,1,134.5,1
321,0,3,1,22.0,0,0,7.25,0
322,0,3,1,27.0,0,0,7.8958,0
323,1,2,0,30.0,0,0,12.35,2
324,1,2,0,22.0,1,1,29.0,0
325,0,3,1,24.0,8,2,69.55,0
326,1,1,0,36.0,0,0,135.6333,1
327,0,3,1,61.0,0,0,6.2375,0
328,1,2,0,36.0,0,0,13.0,0
329,1,3,0,31.0,1,1,20.525,0
330,1,1,0,16.0,0,1,57.9792,1
331,1,3,0,24.0,2,0,23.25,2
332,0,1,1,45.5,0,0,28.5,0
333,0,1,1,38.0,0,1,153.4625,0
334,0,3,1,16.0,2,0,18.0,0
335,1,1,0,24.0,1,0,133.65,0
336,0,3,1,24.0,0,0,7.8958,0
337,0,1,1,29.0,1,0,66.6,0
338,1,1,0,41.0,0,0,134.5,1
339,1,3,1,45.0,0,0,8.05,0
340,0,1,1,45.0,0,0,35.5,0
341,1,2,1,2.0,1,1,26.0,0
342,1,1,0,24.0,3,2,263.0,0
343,0,2,1,28.0,0,0,13.0,0
344,0,2,1,25.0,0,0,13.0,0
345,0,2,1,36.0,0,0,13.0,0
346,1,2,0,24.0,0,0,13.0,0
347,1,2,0,40.0,0,0,13.0,0
348,1,3,0,24.0,1,0,16.1,0
349,1,3,1,3.0,1,1,15.9,0
350,0,3,1,42.0,0,0,8.6625,0
351,0,3,1,23.0,0,0,9.225,0
352,0,1,1,24.0,0,0,35.0,0
353,0,3,1,15.0,1,1,7.2292,1
354,0,3,1,25.0,1,0,17.8,0
355,0,3,1,24.0,0,0,7.225,1
356,0,3,1,28.0,0,0,9.5,0
357,1,1,0,22.0,0,1,55.0,0
358,0,2,0,38.0,0,0,13.0,0
359,1,3,0,24.0,0,0,7.8792,2
360,1,3,0,24.0,0,0,7.8792,2
361,0,3,1,40.0,1,4,27.9,0
362,0,2,1,29.0,1,0,27.7208,1
363,0,3,0,45.0,0,1,14.4542,1
364,0,3,1,35.0,0,0,7.05,0
365,0,3,1,24.0,1,0,15.5,2
366,0,3,1,30.0,0,0,7.25,0
367,1,1,0,60.0,1,0,75.25,1
368,1,3,0,24.0,0,0,7.2292,1
369,1,3,0,24.0,0,0,7.75,2
370,1,1,0,24.0,0,0,69.3,1
371,1,1,1,25.0,1,0,55.4417,1
372,0,3,1,18.0,1,0,6.4958,0
373,0,3,1,19.0,0,0,8.05,0
374,0,1,1,22.0,0,0,135.6333,1
375,0,3,0,3.0,3,1,21.075,0
376,1,1,0,24.0,1,0,82.1708,1
377,1,3,0,22.0,0,0,7.25,0
378,0,1,1,27.0,0,2,211.5,1
379,0,3,1,20.0,0,0,4.0125,1
380,0,3,1,19.0,0,0,7.775,0
381,1,1,0,42.0,0,0,227.525,1
382,1,3,0,1.0,0,2,15.7417,1
383,0,3,1,32.0,0,0,7.925,0
384,1,1,0,35.0,1,0,52.0,0
385,0,3,1,24.0,0,0,7.8958,0
386,0,2,1,18.0,0,0,73.5,0
387,0,3,1,1.0,5,2,46.9,0
388,1,2,0,36.0,0,0,13.0,0
389,0,3,1,24.0,0,0,7.7292,2
390,1,2,0,17.0,0,0,12.0,1
391,1,1,1,36.0,1,2,120.0,0
392,1,3,1,21.0,0,0,7.7958,0
393,0,3,1,28.0,2,0,7.925,0
394,1,1,0,23.0,1,0,113.275,1
395,1,3,0,24.0,0,2,16.7,0
396,0,3,1,22.0,0,0,7.7958,0
397,0,3,0,31.0,0,0,7.8542,0
398,0,2,1,46.0,0,0,26.0,0
399,0,2,1,23.0,0,0,10.5,0
400,1,2,0,28.0,0,0,12.65,0
401,1,3,1,39.0,0,0,7.925,0
402,0,3,1,26.0,0,0,8.05,0
403,0,3,0,21.0,1,0,9.825,0
404,0,3,1,28.0,1,0,15.85,0
405,0,3,0,20.0,0,0,8.6625,0
406,0,2,1,34.0,1,0,21.0,0
407,0,3,1,51.0,0,0,7.75,0
408,1,2,1,3.0,1,1,18.75,0
409,0,3,1,21.0,0,0,7.775,0
410,0,3,0,24.0,3,1,25.4667,0
411,0,3,1,24.0,0,0,7.8958,0
412,0,3,1,24.0,0,0,6.8583,2
413,1,1,0,33.0,1,0,90.0,2
414,0,2,1,24.0,0,0,0.0,0
415,1,3,1,44.0,0,0,7.925,0
416,0,3,0,24.0,0,0,8.05,0
417,1,2,0,34.0,1,1,32.5,0
418,1,2,0,18.0,0,2,13.0,0
419,0,2,1,30.0,0,0,13.0,0
420,0,3,0,10.0,0,2,24.15,0
421,0,3,1,24.0,0,0,7.8958,1
422,0,3,1,21.0,0,0,7.7333,2
423,0,3,1,29.0,0,0,7.875,0
424,0,3,0,28.0,1,1,14.4,0
425,0,3,1,18.0,1,1,20.2125,0
426,0,3,1,24.0,0,0,7.25,0
427,1,2,0,28.0,1,0,26.0,0
428,1,2,0,19.0,0,0,26.0,0
429,0,3,1,24.0,0,0,7.75,2
430,1,3,1,32.0,0,0,8.05,0
431,1,1,1,28.0,0,0,26.55,0
432,1,3,0,24.0,1,0,16.1,0
433,1,2,0,42.0,1,0,26.0,0
434,0,3,1,17.0,0,0,7.125,0
435,0,1,1,50.0,1,0,55.9,0
436,1,1,0,14.0,1,2,120.0,0
437,0,3,0,21.0,2,2,34.375,0
438,1,2,0,24.0,2,3,18.75,0
439,0,1,1,64.0,1,4,263.0,0
440,0,2,1,31.0,0,0,10.5,0
441,1,2,0,45.0,1,1,26.25,0
442,0,3,1,20.0,0,0,9.5,0
443,0,3,1,25.0,1,0,7.775,0
444,1,2,0,28.0,0,0,13.0,0
445,1,3,1,24.0,0,0,8.1125,0
446,1,1,1,4.0,0,2,81.8583,0
447,1,2,0,13.0,0,1,19.5,0
448,1,1,1,34.0,0,0,26.55,0
449,1,3,0,5.0,2,1,19.2583,1
450,1,1,1,52.0,0,0,30.5,0
451,0,2,1,36.0,1,2,27.75,0
452,0,3,1,24.0,1,0,19.9667,0
453,0,1,1,30.0,0,0,27.75,1
454,1,1,1,49.0,1,0,89.1042,1
455,0,3,1,24.0,0,0,8.05,0
456,1,3,1,29.0,0,0,7.8958,1
457,0,1,1,65.0,0,0,26.55,0
458,1,1,0,24.0,1,0,51.8625,0
459,1,2,0,50.0,0,0,10.5,0
460,0,3,1,24.0,0,0,7.75,2
461,1,1,1,48.0,0,0,26.55,0
462,0,3,1,34.0,0,0,8.05,0
463,0,1,1,47.0,0,0,38.5,0
464,0,2,1,48.0,0,0,13.0,0
465,0,3,1,24.0,0,0,8.05,0
466,0,3,1,38.0,0,0,7.05,0
467,0,2,1,24.0,0,0,0.0,0
468,0,1,1,56.0,0,0,26.55,0
469,0,3,1,24.0,0,0,7.725,2
470,1,3,0,0.75,2,1,19.2583,1
471,0,3,1,24.0,0,0,7.25,0
472,0,3,1,38.0,0,0,8.6625,0
473,1,2,0,33.0,1,2,27.75,0
474,1,2,0,23.0,0,0,13.7917,1
475,0,3,0,22.0,0,0,9.8375,0
476,0,1,1,24.0,0,0,52.0,0
477,0,2,1,34.0,1,0,21.0,0
478,0,3,1,29.0,1,0,7.0458,0
479,0,3,1,22.0,0,0,7.5208,0
480,1,3,0,2.0,0,1,12.2875,0
481,0,3,1,9.0,5,2,46.9,0
482,0,2,1,24.0,0,0,0.0,0
483,0,3,1,50.0,0,0,8.05,0
484,1,3,0,63.0,0,0,9.5875,0
485,1,1,1,25.0,1,0,91.0792,1
486,0,3,0,24.0,3,1,25.4667,0
487,1,1,0,35.0,1,0,90.0,0
488,0,1,1,58.0,0,0,29.7,1
489,0,3,1,30.0,0,0,8.05,0
490,1,3,1,9.0,1,1,15.9,0
491,0,3,1,24.0,1,0,19.9667,0
492,0,3,1,21.0,0,0,7.25,0
493,0,1,1,55.0,0,0,30.5,0
494,0,1,1,71.0,0,0,49.5042,1
495,0,3,1,21.0,0,0,8.05,0
496,0,3,1,24.0,0,0,14.4583,1
497,1,1,0,54.0,1,0,78.2667,1
498,0,3,1,24.0,0,0,15.1,0
499,0,1,0,25.0,1,2,151.55,0
500,0,3,1,24.0,0,0,7.7958,0
501,0,3,1,17.0,0,0,8.6625,0
502,0,3,0,21.0,0,0,7.75,2
503,0,3,0,24.0,0,0,7.6292,2
504,0,3,0,37.0,0,0,9.5875,0
505,1,1,0,16.0,0,0,86.5,0
506,0,1,1,18.0,1,0,108.9,1
507,1,2,0,33.0,0,2,26.0,0
508,1,1,1,24.0,0,0,26.55,0
509,0,3,1,28.0,0,0,22.525,0
510,1,3,1,26.0,0,0,56.4958,0
511,1,3,1,29.0,0,0,7.75,2
512,0,3,1,24.0,0,0,8.05,0
513,1,1,1,36.0,0,0,26.2875,0
514,1,1,0,54.0,1,0,59.4,1
515,0,3,1,24.0,0,0,7.4958,0
516,0,1,1,47.0,0,0,34.0208,0
517,1,2,0,34.0,0,0,10.5,0
518,0,3,1,24.0,0,0,24.15,2
519,1,2,0,36.0,1,0,26.0,0
520,0,3,1,32.0,0,0,7.8958,0
521,1,1,0,30.0,0,0,93.5,0
522,0,3,1,22.0,0,0,7.8958,0
523,0,3,1,24.0,0,0,7.225,1
524,1,1,0,44.0,0,1,57.9792,1
525,0,3,1,24.0,0,0,7.2292,1
526,0,3,1,40.5,0,0,7.75,2
527,1,2,0,50.0,0,0,10.5,0
528,0,1,1,24.0,0,0,221.7792,0
529,0,3,1,39.0,0,0,7.925,0
530,0,2,1,23.0,2,1,11.5,0
531,1,2,0,2.0,1,1,26.0,0
532,0,3,1,24.0,0,0,7.2292,1
533,0,3,1,17.0,1,1,7.2292,1
534,1,3,0,24.0,0,2,22.3583,1
535,0,3,0,30.0,0,0,8.6625,0
536,1,2,0,7.0,0,2,26.25,0
537,0,1,1,45.0,0,0,26.55,0
538,1,1,0,30.0,0,0,106.425,1
539,0,3,1,24.0,0,0,14.5,0
540,1,1,0,22.0,0,2,49.5,1
541,1,1,0,36.0,0,2,71.0,0
542,0,3,0,9.0,4,2,31.275,0
543,0,3,0,11.0,4,2,31.275,0
544,1,2,1,32.0,1,0,26.0,0
545,0,1,1,50.0,1,0,106.425,1
546,0,1,1,64.0,0,0,26.0,0
547,1,2,0,19.0,1,0,26.0,0
548,1,2,1,24.0,0,0,13.8625,1
549,0,3,1,33.0,1,1,20.525,0
550,1,2,1,8.0,1,1,36.75,0
551,1,1,1,17.0,0,2,110.8833,1
552,0,2,1,27.0,0,0,26.0,0
553,0,3,1,24.0,0,0,7.8292,2
554,1,3,1,22.0,0,0,7.225,1
555,1,3,0,22.0,0,0,7.775,0
556,0,1,1,62.0,0,0,26.55,0
557,1,1,0,48.0,1,0,39.6,1
558,0,1,1,24.0,0,0,227.525,1
559,1,1,0,39.0,1,1,79.65,0
560,1,3,0,36.0,1,0,17.4,0
561,0,3,1,24.0,0,0,7.75,2
562,0,3,1,40.0,0,0,7.8958,0
563,0,2,1,28.0,0,0,13.5,0
564,0,3,1,24.0,0,0,8.05,0
565,0,3,0,24.0,0,0,8.05,0
566,0,3,1,24.0,2,0,24.15,0
567,0,3,1,19.0,0,0,7.8958,0
568,0,3,0,29.0,0,4,21.075,0
569,0,3,1,24.0,0,0,7.2292,1
570,1,3,1,32.0,0,0,7.8542,0
571,1,2,1,62.0,0,0,10.5,0
572,1,1,0,53.0,2,0,51.4792,0
573,1,1,1,36.0,0,0,26.3875,0
574,1,3,0,24.0,0,0,7.75,2
575,0,3,1,16.0,0,0,8.05,0
576,0,3,1,19.0,0,0,14.5,0
577,1,2,0,34.0,0,0,13.0,0
578,1,1,0,39.0,1,0,55.9,0
579,0,3,0,24.0,1,0,14.4583,1
580,1,3,1,32.0,0,0,7.925,0
581,1,2,0,25.0,1,1,30.0,0
582,1,1,0,39.0,1,1,110.8833,1
583,0,2,1,54.0,0,0,26.0,0
584,0,1,1,36.0,0,0,40.125,1
585,0,3,1,24.0,0,0,8.7125,1
586,1,1,0,18.0,0,2,79.65,0
587,0,2,1,47.0,0,0,15.0,0
588,1,1,1,60.0,1,1,79.2,1
589,0,3,1,22.0,0,0,8.05,0
590,0,3,1,24.0,0,0,8.05,0
591,0,3,1,35.0,0,0,7.125,0
592,1,1,0,52.0,1,0,78.2667,1
593,0,3,1,47.0,0,0,7.25,0
594,0,3,0,24.0,0,2,7.75,2
595,0,2,1,37.0,1,0,26.0,0
596,0,3,1,36.0,1,1,24.15,0
597,1,2,0,24.0,0,0,33.0,0
598,0,3,1,49.0,0,0,0.0,0
599,0,3,1,24.0,0,0,7.225,1
600,1,1,1,49.0,1,0,56.9292,1
601,1,2,0,24.0,2,1,27.0,0
602,0,3,1,24.0,0,0,7.8958,0
603,0,1,1,24.0,0,0,42.4,0
604,0,3,1,44.0,0,0,8.05,0
605,1,1,1,35.0,0,0,26.55,1
606,0,3,1,36.0,1,0,15.55,0
607,0,3,1,30.0,0,0,7.8958,0
608,1,1,1,27.0,0,0,30.5,0
609,1,2,0,22.0,1,2,41.5792,1
610,1,1,0,40.0,0,0,153.4625,0
611,0,3,0,39.0,1,5,31.275,0
612,0,3,1,24.0,0,0,7.05,0
613,1,3,0,24.0,1,0,15.5,2
614,0,3,1,24.0,0,0,7.75,2
615,0,3,1,35.0,0,0,8.05,0
616,1,2,0,24.0,1,2,65.0,0
617,0,3,1,34.0,1,1,14.4,0
618,0,3,0,26.0,1,0,16.1,0
619,1,2,0,4.0,2,1,39.0,0
620,0,2,1,26.0,0,0,10.5,0
621,0,3,1,27.0,1,0,14.4542,1
622,1,1,1,42.0,1,0,52.5542,0
623,1,3,1,20.0,1,1,15.7417,1
